Account No,Recency_M1,Frequency_M1,Monetary_M1,Cluster_M1,Recency_M2,Frequency_M2,Monetary_M2,Cluster_M2,Recency_M3,Frequency_M3,Monetary_M3,Cluster_M3,Recency_M4,Frequency_M4,Monetary_M4,Cluster_M4
100100738.0,2,17,-1192.9,4,6,10,-988.03,1,0,3,-155.98,1,3,3,-241.83,0
100837224.0,4,3,-288.05,3,11,1,-147.47,1,0,3,-396.51,1,3,5,-328.51,0
101348775.0,0,29,19228.36,1,0,13,-424.27,0,0,13,-515.12,2,0,9,-334.89,2
103439190.0,0,30,30373.010000000002,1,0,23,-832.41,2,0,15,-683.56,2,0,19,-772.74,2
104009728.0,0,33,-11420.88,0,0,10,-328.56,0,0,13,-446.85,2,0,11,-417.99,2
105459181.0,0,22,-6761.5199999999995,0,5,5,-395.6,1,2,3,-118.78,1,6,4,-119.11,1
106539249.0,5,6,-268.4,3,3,1,-55.29,4,1,1,-49.39,1,6,5,-592.71,1
107284902.0,0,23,-15153.55,0,1,6,-149.76,4,5,3,-159.94,5,3,2,-64.52000000000001,0
110601571.0,7,5,-129.92000000000002,2,11,1,-32.95,1,3,2,-48.12,5,7,2,-29.52,1
110925819.0,5,6,-94.93,3,0,5,-244.45,4,1,26,-3172.92,3,3,8,-1029.32,2
111740539.0,0,10,-412.44,4,0,11,-937.9100000000001,0,0,9,-524.98,2,0,6,-191.34,0
111863803.0,0,45,26693.159999999996,1,0,15,-241.76,0,0,19,-450.5,2,0,20,-774.07,2
113263539.0,8,9,-412.52,2,0,6,-315.26,4,3,1,-53.09,5,2,5,-240.12,0
114501144.0,3,7,-282.07,3,0,4,-78.87,4,5,3,-152.35999999999999,5,3,2,-284.25,0
114685790.0,2,11,-229.68,3,2,6,-475.43,4,11,1,-20.93,0,5,3,-666.89,1
114686082.0,1,27,-654.09,0,0,19,-1837.93,2,0,14,-1486.02,3,1,2,-39.83,0
115977868.0,0,16,-5634.9400000000005,4,3,9,-770.97,0,4,26,-2172.45,3,3,3,-132.99,0
117068696.0,0,31,-11136.76,0,0,13,-668.26,0,0,10,-294.79,2,0,5,-210.01,0
117332310.0,0,35,-11430.960000000001,0,0,16,-395.97,0,0,15,-331.15,2,0,14,-362.89,2
117785923.0,2,5,-283.90999999999997,3,2,2,-96.75999999999999,4,9,2,-116.24,0,6,2,-163.05,1
118072307.0,0,17,-114.86999999999998,4,2,16,-2066.16,2,1,11,-988.71,2,0,3,-153.69,0
118284345.0,0,11,-751.28,4,0,8,-758.32,0,5,5,-434.94,5,2,9,-981.26,2
119524898.0,0,28,4021.8,0,7,18,-3366.32,2,4,2,-45.620000000000005,5,5,1,-25.7,1
119848911.0,0,55,12429.98,5,1,10,-711.88,0,5,11,-1179.87,2,2,4,-236.92000000000002,0
121664319.0,0,22,-16628.95,0,1,6,287.28,4,1,10,-629.69,2,3,4,14.819999999999993,0
121803736.0,0,14,-1226.5,4,6,3,-152.53,1,1,2,-122.0,1,3,4,-238.48,0
123589285.0,0,27,-11478.27,0,4,4,-75.11,4,0,7,-152.76,1,0,9,-217.92,2
123942392.0,0,30,-16557.81,0,0,6,-350.01,4,0,6,809.44,1,0,9,-878.56,2
124554844.0,0,18,19781.98,1,0,7,-243.94,4,10,2,-51.27,0,1,13,-1709.46,3
125582633.0,5,16,410.6500000000001,3,0,11,-780.07,0,7,2,-131.67000000000002,0,8,1,-18.0,1
126520477.0,0,19,-1270.37,4,0,13,-253.96,0,0,11,-208.3,2,0,24,-1675.3,3
