Account No,Credit,Debit,Credit_to_Debit_Ratio
100100738.0,7480.0,8700.91,0.8597
100837224.0,5630.0,6739.93,0.8353
101348775.0,20100.0,18226.22,1.1028
103439190.0,30804.0,18886.59,1.631
104009728.0,34683.88,27773.9,1.2488
105459181.0,30580.0,29575.2,1.034
106539249.0,3200.0,5917.82,0.5407
107284902.0,17556.0,20387.28,0.8611
110601571.0,0.0,2297.07,0.0
110689749.0,970.0,5872.19,0.1652
110925819.0,15020.0,15006.7,1.0009
111740539.0,13640.0,13984.92,0.9753
111863803.0,34099.92,27587.92,1.236
113263539.0,6740.0,7888.69,0.8544
113526514.0,22110.0,24152.51,0.9154
113872995.0,0.0,4694.74,0.0
114501144.0,16940.0,18292.76,0.926
114685790.0,17424.0,18699.62,0.9318
114686082.0,17140.0,18592.79,0.9219
115977868.0,22000.0,21695.62,1.014
116259400.0,33880.0,31751.87,1.067
117068696.0,30470.0,22834.48,1.3344
117332310.0,33965.25,34584.03,0.9821
117785923.0,0.0,4586.64,0.0
118072307.0,9600.0,10558.6,0.9092
118084117.0,0.0,4356.53,0.0
118204239.0,0.0,5055.43,0.0
118284345.0,17821.1,15759.93,1.1308
119524898.0,20100.0,22463.3,0.8948
119848911.0,20100.0,20701.72,0.9709
121664319.0,24436.0,25331.41,0.9647
121803736.0,4720.0,4673.56,1.0099
122266762.0,20075.0,19136.16,1.0491
123589285.0,19063.0,17983.49,1.06
123942392.0,28739.0,27727.1,1.0365
124554844.0,20100.0,17309.05,1.1612
125510126.0,0.0,3756.1,0.0
125582633.0,4740.0,7007.31,0.6764
126520477.0,12940.0,15374.33,0.8417
126772008.0,40216.0,37826.0,1.0632
128791455.0,26520.0,23339.88,1.1363
129195432.0,10540.0,11812.39,0.8923
129677204.0,19441.2,20353.76,0.9552
130924836.0,18766.0,18755.52,1.0006
131343287.0,0.0,4894.83,0.0
131856614.0,21082.6,21614.62,0.9754
131975859.0,20009.0,17763.6,1.1264
132770515.0,7050.0,10799.07,0.6528
133611714.0,20100.0,22175.71,0.9064
136362751.0,0.0,4094.02,0.0
136709923.0,49428.0,48372.5,1.0218
136736335.0,37776.0,36716.64,1.0289
136762048.0,18766.0,16249.01,1.1549
138046944.0,20220.0,21833.74,0.9261
138398260.0,0.0,4357.95,0.0
139192074.0,6220.0,7342.03,0.8472
139373971.0,20472.0,20975.51,0.976
140186171.0,30000.0,28595.22,1.0491
140620855.0,5550.0,6601.89,0.8407
141085153.0,31594.0,26347.69,1.1991
141339885.0,5040.0,7834.53,0.6433
142842720.0,19415.0,20962.53,0.9262
143431705.0,8040.0,9038.03,0.8896
143720076.0,10250.0,10869.17,0.943
144175429.0,5530.0,7993.13,0.6918
144482990.0,30503.0,24826.45,1.2286
144641754.0,12220.0,13813.62,0.8846
145906033.0,22293.0,21672.08,1.0287
146353544.0,5910.0,7220.1,0.8185
147241590.0,45590.0,44420.0,1.0263
148223575.0,8190.0,9055.06,0.9045
151369684.0,34440.0,26333.75,1.3078
154215838.0,29669.1,30594.65,0.9697
154636770.0,29800.0,28641.97,1.0404
157118728.0,23011.1,23822.44,0.9659
157171411.0,17875.0,19208.82,0.9306
157447912.0,18766.0,22148.73,0.8473
158053049.0,14370.0,15645.23,0.9185
158877803.0,16967.5,14629.91,1.1598
158932590.0,6350.0,7903.53,0.8034
159959814.0,8050.0,12504.68,0.6438
160517762.0,19008.0,21291.55,0.8927
161013024.0,22231.0,24648.67,0.9019
161713662.0,18634.0,19261.44,0.9674
161759958.0,64163.0,56247.92,1.1407
164260810.0,20100.0,18514.56,1.0856
164337916.0,33276.0,28301.99,1.1757
164341773.0,25440.0,26437.44,0.9623
164456671.0,18205.0,19636.39,0.9271
164963710.0,17424.0,14134.51,1.2327
165565198.0,0.0,4382.77,0.0
166914297.0,22999.2,23686.21,0.971
167009390.0,29799.1,29528.32,1.0092
167171625.0,8800.0,9474.2,0.9288
167380719.0,24999.6,22720.11,1.1003
167826754.0,6080.0,8241.29,0.7377
167965078.0,18425.0,19225.98,0.9583
168559321.0,0.0,4176.52,0.0
169814460.0,22848.0,25569.85,0.8936
171875418.0,34375.0,27536.07,1.2484
172670097.0,17120.0,18780.93,0.9116
172734093.0,9900.0,12846.71,0.7706
174099528.0,0.0,5892.69,0.0
174365261.0,20100.0,16528.02,1.2161
174418335.0,0.0,4607.24,0.0
175551913.0,0.0,3670.62,0.0
175707170.0,30410.0,35158.88,0.8649
175916054.0,22000.0,19309.24,1.1394
176265019.0,19678.0,20166.24,0.9758
176376870.0,7800.0,9401.16,0.8297
177389414.0,25800.0,26822.61,0.9619
177430498.0,19308.0,18033.5,1.0707
178352261.0,18425.0,20223.06,0.9111
178367935.0,22848.0,21117.69,1.0819
180366285.0,26334.0,27976.12,0.9413
181163644.0,21373.0,21848.32,0.9782
182306653.0,18767.5,19851.37,0.9454
183203410.0,2440.0,4668.72,0.5226
185627912.0,0.0,6457.05,0.0
185898052.0,0.0,3302.93,0.0
186612824.0,14760.0,16283.41,0.9064
186972864.0,9340.0,10033.79,0.9309
188605473.0,19910.0,20273.93,0.982
189021792.0,20472.0,21025.01,0.9737
189246086.0,2090.0,5185.61,0.403
190062824.0,22999.2,15344.51,1.4989
190571573.0,5610.0,6720.44,0.8348
192143397.0,20100.0,14900.33,1.349
193590245.0,32496.0,20583.56,1.5787
193854135.0,0.0,3308.39,0.0
196224167.0,0.0,4400.18,0.0
196326350.0,19728.0,21525.96,0.9165
198571693.0,18634.0,21010.74,0.8869
199321965.0,21900.0,23064.82,0.9495
199832775.0,18370.0,16326.75,1.1251
202822088.0,22231.0,23433.93,0.9487
203180094.0,0.0,5021.23,0.0
203925540.0,33760.0,35215.11,0.9587
204475065.0,27630.0,20022.57,1.3799
205070322.0,10070.0,10715.31,0.9398
205434026.0,19942.0,20954.7,0.9517
205845278.0,20100.0,23224.26,0.8655
205941136.0,22231.0,23132.87,0.961
206082523.0,20544.0,20838.78,0.9859
208139739.0,13090.0,14902.81,0.8784
208146789.0,30580.0,24955.18,1.2254
209239478.0,39436.63,40748.78,0.9678
209827320.0,20544.0,21476.27,0.9566
210226208.0,14740.0,18437.24,0.7995
211015441.0,21630.0,17414.51,1.2421
211075380.0,5160.0,6595.18,0.7824
214022887.0,26747.5,16329.15,1.638
214666845.0,990.0,3945.31,0.2509
215582678.0,0.0,3704.84,0.0
